project	grant	lab	composite	dataType	view	cell	treatment	antibody	protocol	replicate	dataVersion	dccAccession	dateSubmitted	dateUnrestricted	subId	setType	controlId	labExpId	type	md5sum	size	geoSampleAccession	softwareVersion	tableName	dateResubmitted	origAssembly	labVersion	objStatus	submittedDataVersion	filename
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	None	CEBPB_(SC-150)	v042211.1	1	ENCODE Jul 2012 Freeze	wgEncodeEH003271	2012-07-29	2013-04-29	7694	exp	SL13321	SL12637	bai	cea9facf84332c759c35c33108fccaaa	6.2M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Cebpbsc150V0422111AlnRep1.bam.bai
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	None	CEBPB_(SC-150)	v042211.1	2	ENCODE Jul 2012 Freeze	wgEncodeEH003271	2012-07-29	2013-04-29	7694	exp	SL16753	SL16299	bam	8edfc9d56a5fd3b80f79bf6b8c9a1558	1.4G	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Cebpbsc150V0422111AlnRep2.bam
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	None	CEBPB_(SC-150)	v042211.1	2	ENCODE Jul 2012 Freeze	wgEncodeEH003271	2012-07-29	2013-04-29	7694	exp	SL16753	SL16299	bai	6cf2883847248974672c31b387a69253	6.2M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Cebpbsc150V0422111AlnRep2.bam.bai
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Peaks	A549	None	CEBPB_(SC-150)	v042211.1	1	ENCODE Jul 2012 Freeze	wgEncodeEH003271	2012-07-29	2013-04-29	7694	exp	SL13321	SL12637	broadPeak	048980e3bb18a99d87d004a90bf5bfa7	403K	GSM1010871	MACS	wgEncodeHaibTfbsA549Cebpbsc150V0422111PkRep1	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Cebpbsc150V0422111PkRep1.broadPeak.gz
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Peaks	A549	None	CEBPB_(SC-150)	v042211.1	2	ENCODE Jul 2012 Freeze	wgEncodeEH003271	2012-07-29	2013-04-29	7694	exp	SL16753	SL16299	broadPeak	985e3827d504c369167bba0078c744d5	248K	GSM1010871	MACS	wgEncodeHaibTfbsA549Cebpbsc150V0422111PkRep2	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Cebpbsc150V0422111PkRep2.broadPeak.gz
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawData	A549	None	CEBPB_(SC-150)	v042211.1	1	ENCODE Jul 2012 Freeze	wgEncodeEH003271	2012-07-29	2013-04-29	7694	exp	SL13321	SL12637	fastq	567a0fe2bcc8989ceb4c9dbb0cd3b75c	1.5G	GSM1010871	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Cebpbsc150V0422111RawDataRep1.fastq.gz
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawData	A549	None	CEBPB_(SC-150)	v042211.1	2	ENCODE Jul 2012 Freeze	wgEncodeEH003271	2012-07-29	2013-04-29	7694	exp	SL16753	SL16299	fastq	c3c0d1832561e8cdae0ff0b50ecc6693	1.4G	GSM1010871	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Cebpbsc150V0422111RawDataRep2.fastq.gz
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawSignal	A549	None	CEBPB_(SC-150)	v042211.1	1	ENCODE Jul 2012 Freeze	wgEncodeEH003271	2012-07-29	2013-04-29	7694	exp	SL13321	SL12637	bigWig	7844e7deef0fb24056cd617bb89ccf3b	212M	GSM1010871	NA	wgEncodeHaibTfbsA549Cebpbsc150V0422111RawRep1	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Cebpbsc150V0422111RawRep1.bigWig
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawSignal	A549	None	CEBPB_(SC-150)	v042211.1	2	ENCODE Jul 2012 Freeze	wgEncodeEH003271	2012-07-29	2013-04-29	7694	exp	SL16753	SL16299	bigWig	fe3d656a4d4c1bfe8fdbc0590dc29c75	141M	GSM1010871	NA	wgEncodeHaibTfbsA549Cebpbsc150V0422111RawRep2	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Cebpbsc150V0422111RawRep2.bigWig
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	EtOH_0.02pct	CREB1_(SC-240)	PCR1x	1	ENCODE Mar 2012 Freeze	wgEncodeEH002322	2011-09-30	2012-06-30	4882	input	SL1668	SL1668	bam	bc048bfccc4f0ddf138b6e1e0be36765	609M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Creb1sc240Pcr1xEtoh02AlnRep1.bam
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	EtOH_0.02pct	CREB1_(SC-240)	PCR1x	1	ENCODE Mar 2012 Freeze	wgEncodeEH002322	2011-09-30	2012-06-30	4882	input	SL1668	SL1668	bai	4d6aca6509329ae01efbf250bc7f6727	5.8M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Creb1sc240Pcr1xEtoh02AlnRep1.bam.bai
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawData	A549	EtOH_0.02pct	CREB1_(SC-240)	PCR1x	1	ENCODE Mar 2012 Freeze	wgEncodeEH002322	2011-09-30	2012-06-30	4882	input	SL1668	SL1668	fastq	154ebdf789091925c83e4a0b18fd218b	546M	GSM1010720	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Creb1sc240Pcr1xEtoh02RawDataRep1.fastq.gz
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawSignal	A549	EtOH_0.02pct	CREB1_(SC-240)	PCR1x	1	ENCODE Mar 2012 Freeze	wgEncodeEH002322	2011-09-30	2012-06-30	4882	input	SL1668	SL1668	bigWig	18d4e02bc69c4c07ff96d4c0eab0653e	6.9M	GSM1010720	NA	wgEncodeHaibTfbsA549Creb1sc240Pcr1xEtoh02RawRep1	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Creb1sc240Pcr1xEtoh02RawRep1.bigWig
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	DEX_100nM	CREB1_(SC-240)	v041610.2	1	ENCODE Mar 2012 Freeze	wgEncodeEH002323	2011-09-30	2012-06-30	4795	exp	SL1668	SL1667	bam	0becf9e79f79a32c37e95b41cf268095	1011M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmAlnRep1.bam
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	DEX_100nM	CREB1_(SC-240)	v041610.2	1	ENCODE Mar 2012 Freeze	wgEncodeEH002323	2011-09-30	2012-06-30	4795	exp	SL1668	SL1667	bai	15d1f274d8f36cc9d246af8e2271e52e	5.8M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmAlnRep1.bam.bai
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	DEX_100nM	CREB1_(SC-240)	v041610.2	2	ENCODE Mar 2012 Freeze	wgEncodeEH002323	2011-09-30	2012-06-30	4795	exp	SL3898	SL3897	bam	61f7d0f8ff21685db36bb854e82fbf88	694M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmAlnRep2.bam
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	DEX_100nM	CREB1_(SC-240)	v041610.2	2	ENCODE Mar 2012 Freeze	wgEncodeEH002323	2011-09-30	2012-06-30	4795	exp	SL3898	SL3897	bai	ce7a9d8a6d80f3c543fb9d3027da4081	5.9M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmAlnRep2.bam.bai
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Peaks	A549	DEX_100nM	CREB1_(SC-240)	v041610.2	1	ENCODE Mar 2012 Freeze	wgEncodeEH002323	2011-09-30	2012-06-30	4795	exp	SL1668	SL1667	broadPeak	bd1d4cb91bf2ec9d15fb5d4c579a2993	420K	GSM1010719	MACS	wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmPkRep1	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmPkRep1.broadPeak.gz
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Peaks	A549	DEX_100nM	CREB1_(SC-240)	v041610.2	2	ENCODE Mar 2012 Freeze	wgEncodeEH002323	2011-09-30	2012-06-30	4795	exp	SL3898	SL3897	broadPeak	bc118104b18cd530638a8900d92908cc	171K	GSM1010719	MACS	wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmPkRep2	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmPkRep2.broadPeak.gz
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawData	A549	DEX_100nM	CREB1_(SC-240)	v041610.2	1	ENCODE Mar 2012 Freeze	wgEncodeEH002323	2011-09-30	2012-06-30	4795	exp	SL1668	SL1667	fastq	1d81a58222599597d4012ec6f46c2ba9	1.1G	GSM1010719	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmRawDataRep1.fastq.gz
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawData	A549	DEX_100nM	CREB1_(SC-240)	v041610.2	2	ENCODE Mar 2012 Freeze	wgEncodeEH002323	2011-09-30	2012-06-30	4795	exp	SL3898	SL3897	fastq	04bc1c73d55444d1adcf5a3c40f62c1d	707M	GSM1010719	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmRawDataRep2.fastq.gz
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawSignal	A549	DEX_100nM	CREB1_(SC-240)	v041610.2	1	ENCODE Mar 2012 Freeze	wgEncodeEH002323	2011-09-30	2012-06-30	4795	exp	SL1668	SL1667	bigWig	d53ef12bcb17f325f53d25561ced530b	40M	GSM1010719	NA	wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmRawRep1	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmRawRep1.bigWig
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawSignal	A549	DEX_100nM	CREB1_(SC-240)	v041610.2	2	ENCODE Mar 2012 Freeze	wgEncodeEH002323	2011-09-30	2012-06-30	4795	exp	SL3898	SL3897	bigWig	6991cae7a34fecd130daa9248d016513	7.6M	GSM1010719	NA	wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmRawRep2	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmRawRep2.bigWig
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	EtOH_0.02pct	CREB1_(SC-240)	v041610.2	2	ENCODE Mar 2012 Freeze	wgEncodeEH002324	2011-09-30	2012-06-30	4882	input	SL3898	SL3898	bam	99b96be61781dca01d6d00eb863c7648	758M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Creb1sc240V0416102Etoh02AlnRep2.bam
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	EtOH_0.02pct	CREB1_(SC-240)	v041610.2	2	ENCODE Mar 2012 Freeze	wgEncodeEH002324	2011-09-30	2012-06-30	4882	input	SL3898	SL3898	bai	3d0b36742e82c3deea71e81d076132bf	5.9M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Creb1sc240V0416102Etoh02AlnRep2.bam.bai
